tick,hp,checkpoint,no_progress,fall_like,deaths_est,use_item_cd,side_pref
540,5.000,1,484,6,0,8,-0.0000
570,5.000,0,571,11,0,8,0.0000
570,5.000,1,514,6,0,8,-0.0000
570,5.000,1,462,7,0,8,-0.0000
570,5.000,0,571,9,0,8,0.0000
600,5.000,1,544,7,0,8,-0.0000
600,5.000,1,492,7,0,8,-0.0000
600,0.000,0,601,10,0,8,0.0000
600,5.000,0,601,12,0,8,0.0000
630,5.000,0,631,12,0,8,0.0000
630,5.000,1,574,7,0,8,-0.0000
630,5.000,1,522,8,0,8,-0.0000
630,5.000,0,631,10,0,8,0.0000
660,5.000,1,552,8,0,8,-0.0000
660,5.000,1,604,7,0,8,-0.0000
660,5.000,0,661,13,0,8,0.0000
660,0.000,0,661,11,0,8,0.0000
690,0.000,0,691,14,0,8,0.0000
690,0.000,1,582,9,0,8,-0.0000
690,5.000,0,691,11,0,8,0.0000
690,5.000,1,634,8,0,8,-0.0000
720,0.000,0,721,12,0,8,0.0000
720,5.000,1,664,8,0,8,-0.0000
720,5.000,1,612,9,0,8,-0.0000
720,5.000,0,721,14,0,8,0.0000
750,5.000,0,751,12,0,8,0.0000
750,5.000,0,751,15,0,8,0.0000
750,0.000,1,642,10,0,8,-0.0000
750,5.000,1,694,8,0,8,-0.0000
780,5.000,1,672,10,0,8,-0.0000
780,5.000,0,781,15,0,8,0.0000
780,5.000,1,724,9,0,8,-0.0000
780,0.000,0,781,13,0,8,0.0000
810,5.000,0,811,16,0,8,0.0000
810,5.000,0,811,13,0,8,0.0000
810,5.000,1,702,10,0,8,-0.0000
810,5.000,1,754,9,0,8,-0.0000
0,5.000,0,1,1,0,22,-0.2115
0,5.000,0,1,1,0,12,-0.1421
0,5.000,0,1,1,0,25,0.2352
0,5.000,0,1,1,0,10,0.0808
30,5.000,0,31,1,0,22,-0.2115
30,5.000,0,31,1,0,12,-0.1421
30,5.000,0,31,1,0,25,0.2352
30,5.000,0,31,1,0,10,0.0808
60,0.000,0,61,2,0,10,0.0808
60,5.000,0,61,2,0,22,-0.2115
60,5.000,0,61,1,0,12,-0.1421
60,5.000,0,61,2,0,25,0.2352
90,5.000,0,91,2,0,22,-0.2115
90,5.000,0,91,2,0,10,0.0808
90,5.000,0,91,2,0,12,-0.1421
90,5.000,0,91,2,0,25,0.2352
120,0.000,0,121,3,0,12,-0.1421
120,5.000,0,121,3,0,25,0.2352
120,0.000,0,121,3,0,10,0.0808
120,0.000,0,121,3,0,22,-0.2115
150,5.000,0,151,3,0,8,-0.0002
150,5.000,0,151,3,0,8,0.0001
150,5.000,0,151,3,0,8,0.0003
150,5.000,0,151,3,0,8,-0.0003
180,0.000,0,181,4,0,8,-0.0000
180,5.000,0,181,3,0,8,0.0000
180,5.000,0,181,4,0,8,0.0000
180,0.000,0,181,4,0,8,-0.0000
210,5.000,0,211,4,0,8,0.0000
210,5.000,0,211,4,0,8,-0.0000
210,5.000,0,211,4,0,8,0.0000
210,5.000,0,211,4,0,8,-0.0000
240,5.000,0,241,4,0,8,0.0000
240,5.000,0,241,5,0,8,-0.0000
240,5.000,0,241,5,0,8,0.0000
240,0.000,0,241,5,0,8,-0.0000
270,5.000,0,271,5,0,8,-0.0000
270,5.000,0,271,5,0,8,0.0000
270,5.000,0,271,5,0,8,-0.0000
270,5.000,0,271,5,0,8,0.0000
300,5.000,0,301,6,0,8,0.0000
300,0.000,0,301,6,0,8,-0.0000
300,5.000,0,301,6,0,8,-0.0000
300,5.000,0,301,5,0,8,0.0000
330,5.000,0,331,6,0,8,0.0000
330,5.000,0,331,6,0,8,-0.0000
330,5.000,0,331,6,0,8,0.0000
330,5.000,0,331,6,0,8,-0.0000
360,5.000,0,361,6,0,8,0.0000
360,0.000,0,361,7,0,8,-0.0000
360,5.000,0,361,7,0,8,0.0000
360,5.000,0,361,7,0,8,-0.0000
390,5.000,0,391,7,0,8,-0.0000
390,5.000,0,391,7,0,8,0.0000
390,0.000,0,391,8,0,8,-0.0000
390,5.000,0,391,7,0,8,0.0000
420,5.000,0,421,8,0,8,-0.0000
420,5.000,0,421,7,0,8,0.0000
420,5.000,0,421,8,0,8,0.0000
420,0.000,0,421,8,0,8,-0.0000
450,0.000,0,451,8,0,8,0.0000
450,5.000,0,451,8,0,8,-0.0000
450,5.000,0,451,8,0,8,0.0000
450,0.000,0,451,9,0,8,-0.0000
480,5.000,0,481,8,0,8,-0.0000
480,5.000,0,481,9,0,8,-0.0000
480,5.000,0,481,8,0,8,0.0000
480,5.000,0,481,9,0,8,0.0000
510,5.000,0,511,10,0,8,-0.0000
510,5.000,0,511,9,0,8,0.0000
510,0.000,0,511,9,0,8,0.0000
510,5.000,0,511,9,0,8,-0.0000
540,5.000,0,541,9,0,8,-0.0000
540,5.000,0,541,9,0,8,0.0000
540,5.000,0,541,10,0,8,-0.0000
540,5.000,0,541,10,0,8,0.0000
570,5.000,0,571,10,0,8,-0.0000
570,5.000,0,571,11,0,8,-0.0000
570,5.000,0,571,9,0,8,0.0000
570,0.000,0,571,11,0,8,0.0000
