tick,hp,checkpoint,no_progress,fall_like,deaths_est,use_item_cd,side_pref
120,5.000,0,121,1,0,4,0,13,0.3334
0,5.000,0,1,1,0,4,0,18,0.2816
30,5.000,0,31,1,0,4,0,18,0.2816
60,5.000,0,61,1,0,4,0,18,0.2816
90,5.000,0,91,1,0,4,0,18,0.2816
120,5.000,0,121,1,0,4,0,18,0.2816
150,5.000,0,151,1,0,4,0,8,0.0003
180,5.000,0,181,1,0,4,0,8,0.0000
210,5.000,0,211,1,0,4,0,8,0.0000
240,5.000,0,241,1,0,4,0,8,0.0000
0,5.000,0,1,1,0,4,0,10,-0.1547
30,5.000,0,31,1,0,4,0,10,-0.1547
60,5.000,0,61,1,0,4,0,10,-0.1547
90,5.000,0,91,1,0,4,0,10,-0.1547
120,5.000,0,121,1,0,4,0,10,-0.1547
0,5.000,0,1,1,0,4,0,19,-0.1440
30,5.000,0,31,1,0,4,0,19,-0.1440
60,5.000,0,61,1,0,4,0,19,-0.1440
90,5.000,0,91,1,0,4,0,19,-0.1440
120,5.000,0,121,1,0,4,0,19,-0.1440
0,5.000,0,1,2,0,4,0,8,-0.0017
0,5.000,0,1,1,0,5,0,13,0.2099
30,5.000,0,31,1,0,5,0,13,0.2099
60,5.000,0,61,1,0,5,0,13,0.2099
90,5.000,0,91,1,0,5,0,13,0.2099
120,5.000,0,121,1,0,5,0,13,0.2099
0,5.000,0,1,1,0,5,0,21,0.3224
30,5.000,0,31,1,0,5,0,21,0.3224
60,5.000,0,61,1,0,5,0,21,0.3224
90,5.000,0,91,2,0,4,0,21,0.3224
120,5.000,0,121,2,0,4,0,21,0.3224
0,5.000,0,1,3,0,5,0,8,0.0037
30,5.000,0,31,3,0,5,0,8,0.0037
60,5.000,0,61,3,0,5,0,8,0.0037
90,5.000,0,91,3,0,5,0,8,0.0037
120,5.000,0,121,3,0,5,0,8,0.0037
0,5.000,0,1,1,0,5,0,18,0.3013
30,5.000,0,31,2,0,4,0,18,0.3013
60,5.000,0,61,3,0,3,0,18,0.3013
90,5.000,0,91,4,0,3,0,18,0.3013
120,5.000,0,121,4,0,3,0,18,0.3013
0,5.000,0,1,5,0,5,0,8,0.0028
30,5.000,0,31,6,0,4,0,8,0.0028
60,5.000,0,61,7,0,3,0,8,0.0028
90,5.000,0,91,8,0,3,0,8,0.0028
120,5.000,0,121,8,0,3,0,8,0.0028
0,5.000,0,1,1,0,5,0,14,-0.2592
30,5.000,0,31,1,0,5,0,14,-0.2592
60,5.000,0,61,1,0,5,0,14,-0.2592
90,5.000,0,91,1,0,5,0,14,-0.2592
120,5.000,0,121,1,0,5,0,14,-0.2592
0,5.000,0,1,2,0,5,0,8,-0.0030
30,5.000,0,31,2,0,5,0,8,-0.0030
60,5.000,0,61,2,0,5,0,8,-0.0030
90,5.000,0,91,2,0,5,0,8,-0.0030
120,5.000,0,121,2,0,5,0,8,-0.0030
