100,-1155.4580,1325.3328
200,27.6702,12.0395
300,34.0820,16.0849
400,37.4626,19.5761
500,38.1981,15.7915
600,39.3131,17.1317
700,28.4861,13.0647
800,36.2285,17.1033
900,39.0682,22.8380
1000,45.0960,23.3874
1100,41.6368,26.8391
1200,45.0544,21.7835
1300,51.0511,27.4188
1400,22.7321,7.0712
1500,39.4090,16.9359
1600,43.6976,17.4075
1700,47.6723,28.3938
1800,38.3208,18.2406
1900,50.8453,27.9734
2000,33.2429,13.8040
2100,42.7573,22.8042
2200,49.7804,22.8736
2300,48.9494,25.6473
2400,40.3166,18.0213
2500,32.4004,22.0137
2600,23.8441,5.7535
2700,46.0562,22.2106
2800,40.7109,19.2482
2900,43.2629,24.3182
3000,34.0445,16.2971
3100,57.2517,31.1437
3200,51.6118,24.5580
3300,47.3155,25.2362
3400,28.1342,13.1406
3500,27.9277,8.5923
3600,42.3497,23.4468
3700,39.6224,20.3747
3800,47.6911,25.9076
3900,38.2519,21.5133
4000,36.8870,18.9097
4100,42.8900,22.2053
4200,48.7534,30.0655
4300,52.0602,20.0645
4400,48.8799,22.3677
4500,44.4200,24.5695
4600,47.8406,29.0987
4700,24.0660,5.0726
4800,27.7934,11.5894
4900,33.5001,11.2474
5000,52.6777,25.4746
5100,47.1368,18.8449
5200,26.0372,4.9444
5300,33.0832,12.1134
5400,30.1560,9.3727
5500,44.5674,25.9713
5600,45.1988,22.9512
5700,33.0611,10.9015
5800,58.7507,25.9102
5900,46.8293,17.0459
6000,49.8240,21.5345
6100,47.6119,20.3367
6200,68.6077,27.2865
6300,51.3336,27.1008
6400,65.0085,30.1492
6500,28.6567,5.4845
6600,80.7812,33.5657
6700,65.1216,29.3350
6800,63.1700,31.8820
6900,26.7232,5.8626
7000,46.1643,24.9270
7100,94.1020,35.9270
7200,57.1626,27.2874
7300,27.7013,9.8276
7400,30.8977,10.5423
7500,60.3408,26.2239
7600,67.2308,31.6999
7700,49.8249,24.1196
7800,37.0719,12.1625
7900,82.9376,37.1316
8000,29.9595,7.1427
8100,82.1097,36.3925
8200,84.3793,34.1798
8300,83.3180,32.6204
8400,31.6696,7.4633
8500,59.4535,21.4670
8600,80.1750,29.2660
8700,27.9035,4.9506
8800,32.3244,7.3762
8900,74.1438,29.6329
9000,31.2502,7.9658
9100,94.4739,38.7941
9200,43.2296,19.0155
9300,28.1738,5.4325
9400,31.1900,5.9371
9500,33.7771,7.8837
9600,38.5551,14.0776
9700,82.8432,34.2518
9800,95.2288,31.8604
9900,91.6794,39.7867
10000,64.1919,24.1341
10100,36.7358,16.4036
10200,107.5012,38.6066
10300,113.3408,40.1565
10400,64.1581,30.8684
10500,103.4784,41.7683
10600,76.3413,33.9345
10700,34.4551,9.7036
10800,101.1726,35.4505
10900,119.9332,36.0461
11000,94.9728,35.2516
11100,119.7468,39.4411
11200,116.8934,35.0790
11300,120.9132,37.6242
